alg,xval,yval,run
CMA,1,0.8804347979641753,0
CMA,2,0.6877698187142165,0
CMA,4,0.6566009490516005,0
CMA,8,0.6566009490516005,0
CMA,16,0.6566009490516005,0
CMA,32,0.6554942195959503,0
CMA,64,0.4579725771784662,0
CMA,128,0.3639698745397276,0
CMA,256,0.3020482315898505,0
CMA,512,0.2846758239968984,0
CMA,1024,0.28292134572863503,0
CMA,2048,0.2827467962180328,0
CMA,4096,0.28274669328901125,0
CMA,8192,0.28274669328901125,0
CMA,10000,0.28274669328901125,0
QODE,1,0.7259548426218965,0
QODE,2,0.7259548426218965,0
QODE,4,0.7259548426218965,0
QODE,8,0.6713138063229611,0
QODE,16,0.6713138063229611,0
QODE,32,0.5062805482439592,0
QODE,64,0.5062805482439592,0
QODE,128,0.45928102402465054,0
QODE,256,0.4182666590060238,0
QODE,512,0.3045620575864344,0
QODE,1024,0.2473251203229515,0
QODE,2048,0.17799874793896175,0
QODE,4096,0.1650252243596999,0
QODE,8192,0.1648557779795058,0
QODE,10000,0.1648557719524173,0
BFGS,1,0.8332796780872167,0
BFGS,2,0.8332796768380225,0
BFGS,4,0.8332796747751138,0
BFGS,8,0.8332796747751138,0
BFGS,16,0.7367212839469424,0
BFGS,32,0.6737789296542478,0
BFGS,64,0.36536383150981155,0
BFGS,128,0.3126161958788044,0
BFGS,256,0.2841056409014051,0
BFGS,512,0.28275740223943646,0
BFGS,1024,0.28274678515735563,0
BFGS,2048,0.2578100836523387,0
BFGS,4096,0.1648557719047088,0
BFGS,8192,0.16485577190470102,0
BFGS,10000,0.16485577190470102,0
QNDE,1,0.8008477900914143,0
QNDE,2,0.8008477900914143,0
QNDE,4,0.8008477900914143,0
QNDE,8,0.66096580165774,0
QNDE,16,0.48879129091936135,0
QNDE,32,0.48879129091936135,0
QNDE,64,0.4415050903211697,0
QNDE,128,0.3896773701245081,0
QNDE,256,0.37035733323392794,0
QNDE,512,0.24214115202145226,0
QNDE,1024,0.24214115202145226,0
QNDE,2048,0.21084586061028843,0
QNDE,4096,0.1912141080466282,0
QNDE,8192,0.1648557719047017,0
QNDE,10000,0.1648557719047017,0
DE,1,0.7069895905268924,0
DE,2,0.7069895905268924,0
DE,4,0.7069895905268924,0
DE,8,0.7069895905268924,0
DE,16,0.7058911492913424,0
DE,32,0.6394897137923158,0
DE,64,0.5826560372476142,0
DE,128,0.34955410420279587,0
DE,256,0.30036870177914843,0
DE,512,0.24884059812139392,0
DE,1024,0.21701801451868052,0
DE,2048,0.18362710557308237,0
DE,4096,0.18190054258331811,0
DE,8192,0.18187809729123972,0
DE,10000,0.18187809677036093,0
CMA,1,0.5239818485422217,1
CMA,2,0.5008633485210028,1
CMA,4,0.5008633485210028,1
CMA,8,0.3907751575254711,1
CMA,16,0.3907751575254711,1
CMA,32,0.3427871508790621,1
CMA,64,0.28739847234581173,1
CMA,128,0.2277900697141898,1
CMA,256,0.19084993525710148,1
CMA,512,0.18464482440975372,1
CMA,1024,0.18343637740110474,1
CMA,2048,0.18342007021257045,1
CMA,4096,0.1834200456866215,1
CMA,8192,0.18342004568556491,1
CMA,10000,0.18342004568556491,1
QODE,1,0.8644276269104867,1
QODE,2,0.8644276269104867,1
QODE,4,0.8328381616026701,1
QODE,8,0.6425521514147849,1
QODE,16,0.49497078072910417,1
QODE,32,0.49497078072910417,1
QODE,64,0.4645162025133468,1
QODE,128,0.4645162025133468,1
QODE,256,0.34018320561922033,1
QODE,512,0.26183575756815425,1
QODE,1024,0.20609776800062718,1
QODE,2048,0.17103131287763385,1
QODE,4096,0.16486621271825308,1
QODE,8192,0.1648557720117081,1
QODE,10000,0.1648557719071253,1
BFGS,1,0.735127095162962,1
BFGS,2,0.735127095162962,1
BFGS,4,0.735127095162962,1
BFGS,8,0.7351270936522871,1
BFGS,16,0.6619255433800908,1
