alg,xval,yval,run
CMA,1,0.22494062043061847,0
CMA,2,0.22494062043061847,0
CMA,4,0.22494062043061847,0
CMA,8,0.20707267406801733,0
CMA,16,0.2040613195455523,0
CMA,32,0.19476320102753886,0
CMA,64,0.19027562233855455,0
CMA,128,0.18380646498627418,0
CMA,256,0.17819692825938716,0
CMA,512,0.1764879049020367,0
CMA,1024,0.1764421425106527,0
CMA,2000,0.1764396894184288,0
QODE,1,0.27980519024810524,0
QODE,2,0.17038400982128088,0
QODE,4,0.17038400982128088,0
QODE,8,0.17038400982128088,0
QODE,16,0.17038400982128088,0
QODE,32,0.14954425071631516,0
QODE,64,0.14954425071631516,0
QODE,128,0.14954425071631516,0
QODE,256,0.1378548533795214,0
QODE,512,0.13559476170683427,0
QODE,1024,0.12232424798962727,0
QODE,2000,0.11814495242020528,0
BFGS,1,0.30434740601820176,0
BFGS,2,0.30434740601820176,0
BFGS,4,0.30434740586950415,0
BFGS,8,0.30434740564084073,0
BFGS,16,0.30071597494612234,0
BFGS,32,0.28511263622132377,0
BFGS,64,0.23239431366476537,0
BFGS,128,0.20606747298937744,0
BFGS,256,0.18325617981692954,0
BFGS,512,0.1789931954571694,0
BFGS,1024,0.17840563809740273,0
BFGS,2000,0.17840394602564613,0
QNDE,1,0.36084390038701175,0
QNDE,2,0.2614127131815457,0
QNDE,4,0.2614127131815457,0
QNDE,8,0.22296113590406852,0
QNDE,16,0.2040607077673512,0
QNDE,32,0.2040607077673512,0
QNDE,64,0.18046576940637782,0
QNDE,128,0.17994702026136078,0
QNDE,256,0.13480118550791798,0
QNDE,512,0.12698341774584931,0
QNDE,1024,0.11712241550508407,0
QNDE,2000,0.11403635896248576,0
DE,1,0.2686636209424905,0
DE,2,0.2686636209424905,0
DE,4,0.21963377492749314,0
DE,8,0.21963377492749314,0
DE,16,0.21963377492749314,0
DE,32,0.21963377492749314,0
DE,64,0.20300644612565333,0
DE,128,0.19076331126930235,0
DE,256,0.16378857488537035,0
DE,512,0.13221161469002307,0
DE,1024,0.12330812950731784,0
DE,2000,0.11299824377966106,0
