alg,xval,yval,run
CMA,1,0.7284643777354385,0
CMA,2,0.7284643777354385,0
CMA,4,0.6533860264459717,0
CMA,8,0.5945157833536414,0
CMA,16,0.5890942886122372,0
CMA,32,0.44625157878666744,0
CMA,64,0.24272034011828347,0
CMA,128,0.1477478887386684,0
CMA,256,0.055060980939829585,0
CMA,512,0.03459155184842244,0
CMA,1024,0.021983917241974127,0
CMA,2048,0.020872631697072763,0
CMA,4096,0.02072339991815031,0
CMA,8192,0.02072185673726401,0
CMA,16384,0.019968017720235154,0
CMA,20000,0.019968017720235154,0
QODE,1,0.7763972231811236,0
QODE,2,0.5721332846652618,0
QODE,4,0.5721332846652618,0
QODE,8,0.3985769236133453,0
QODE,16,0.3985769236133453,0
QODE,32,0.2879960837589507,0
QODE,64,0.19121971604071142,0
QODE,128,0.19121971604071142,0
QODE,256,0.11086317495192954,0
QODE,512,0.0962268097120983,0
QODE,1024,0.0962268097120983,0
QODE,2048,0.03297041756422059,0
QODE,4096,0.026707855138243253,0
QODE,8192,0.01648814893660977,0
QODE,16384,0.016118060949887325,0
QODE,20000,0.01611803173303794,0
BFGS,1,0.8018416757743532,0
BFGS,2,0.8018416757743532,0
BFGS,4,0.8018416753246609,0
BFGS,8,0.8018416748060748,0
BFGS,16,0.8018416734983526,0
BFGS,32,0.25684678116603044,0
BFGS,64,0.1352103142686839,0
BFGS,128,0.07586911212042846,0
BFGS,256,0.03213377092215586,0
BFGS,512,0.017622218545949364,0
BFGS,1024,0.014612956938404698,0
BFGS,2048,0.014478951991624855,0
BFGS,4096,0.014478941913188326,0
BFGS,8192,0.014478941913110721,0
BFGS,16384,0.014478941913110721,0
BFGS,20000,0.014478941913110721,0
QNDE,1,0.5906189184945883,0
QNDE,2,0.5906189184945883,0
QNDE,4,0.5906189184945883,0
QNDE,8,0.5906189184945883,0
QNDE,16,0.5462123008495774,0
QNDE,32,0.4776738508780092,0
QNDE,64,0.3135978098179779,0
QNDE,128,0.28994931989275086,0
QNDE,256,0.1745167944064855,0
QNDE,512,0.1435389091286725,0
QNDE,1024,0.09899882743096344,0
QNDE,2048,0.05445038749739173,0
QNDE,4096,0.026656095790226875,0
QNDE,8192,0.016790350500074047,0
QNDE,16384,0.016118031378633102,0
