Nodes,Edges,Max Degree,Min Degree,Mean Degree,Degree Variance,Transitivity,Max Depth,Min Depth,Mean Depth,Max Clustering,Min Clustering,Mean Clustering,Clustering Variance,Degree Entropy,Depth Entropy,Assortativity,Average Eccentricity,Diameter,Radius,Edge Density,Average Shortest Path,mean_complexity,total_complexity,mean_token_count,total_token_count,mean_parameter_count,total_parameter_count,fitness,method,exp_dir,alg_id,gen,parent_ids
228,227,12,1,1.9912280701754386,1.6139581409664507,0,10,2,6.336633663366337,0,0,0.0,0.0,5.267902117862363,4.587487041687594,-inf,11.671052631578947,15,8,0.0043859649122807015,7.2244763892109125,2.6666666666666665,8,63.333333333333336,190,2.0,6,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034121-LLaMEA-gpt-4o-ellipsometry,323daf06-eca5-4964-8089-f00c350bf1bf,0,[None]
302,301,13,1,1.9933774834437086,1.6092276654532696,0,11,2,6.963503649635037,0,0,0.0,0.0,5.5475042059955,4.884166742432947,-inf,13.158940397350994,17,9,0.0033112582781456954,8.16690501859145,2.6666666666666665,8,85.33333333333333,256,2.0,6,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034121-LLaMEA-gpt-4o-ellipsometry,a01cef36-c734-4e0a-a3c2-b3510846eb5a,1,['323daf06-eca5-4964-8089-f00c350bf1bf']
245,244,8,1,1.9918367346938775,1.4285047896709704,0,11,2,7.140350877192983,0,0,0.0,0.0,5.342411985773702,4.705848114330241,,13.159183673469387,17,9,0.004081632653061225,8.248109735697557,4.0,8,107.5,215,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034121-LLaMEA-gpt-4o-ellipsometry,b1347862-00b2-47e9-9698-89afe37a202f,2,['323daf06-eca5-4964-8089-f00c350bf1bf']
273,272,8,1,1.9926739926739927,1.479799809470139,0,11,2,7.27906976744186,0,0,0.0,0.0,5.446717179705126,4.830312831320532,,13.227106227106226,17,9,0.003663003663003663,8.33602671837966,5.0,10,116.5,233,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034121-LLaMEA-gpt-4o-ellipsometry,d7c2232d-8a1a-499b-a0b4-94ec7907641e,3,['b1347862-00b2-47e9-9698-89afe37a202f']
353,352,9,1,1.9943342776203965,1.575038721119662,0,11,2,7.613636363636363,0,0,0.0,0.0,5.692520637688136,5.140484565778069,,13.379603399433428,17,9,0.0028328611898017,8.775366984290496,4.0,8,152.5,305,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034121-LLaMEA-gpt-4o-ellipsometry,a36d72af-6416-4553-8fef-06a68ea6ec13,4,['b1347862-00b2-47e9-9698-89afe37a202f']
255,254,8,1,1.992156862745098,1.3724875048058438,0,11,2,7.267241379310345,0,0,0.0,0.0,5.387948548463685,4.722608933179629,-inf,13.254901960784315,17,9,0.00392156862745098,8.454654932839277,4.0,8,117.5,235,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034121-LLaMEA-gpt-4o-ellipsometry,ecc3dc6e-868f-4769-ae54-55662a953d7b,5,['b1347862-00b2-47e9-9698-89afe37a202f']
290,289,10,1,1.993103448275862,1.5654696789536267,0,10,2,7.231343283582089,0,0,0.0,0.0,5.505009046170765,4.869725111388087,-inf,12.727586206896552,16,8,0.0034482758620689655,8.11022551008233,5.0,10,124.5,249,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034121-LLaMEA-gpt-4o-ellipsometry,79ba093b-0b85-49ac-b373-db3d8e1cd0e5,6,['b1347862-00b2-47e9-9698-89afe37a202f']
296,295,8,1,1.9932432432432432,1.385089481373265,0,15,2,8.079710144927537,0,0,0.0,0.0,5.534233341462852,4.8786469433571735,,16.55743243243243,21,11,0.0033783783783783786,9.513536417773706,4.5,9,127.0,254,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034121-LLaMEA-gpt-4o-ellipsometry,5e6f29b5-1e20-418f-9176-888262acecb7,7,['b1347862-00b2-47e9-9698-89afe37a202f']
326,325,11,1,1.9938650306748467,1.60118935601641,0,10,2,7.126666666666667,0,0,0.0,0.0,5.621189706126748,4.985405452704118,,12.585889570552148,16,8,0.003067484662576687,7.961849929211892,4.5,9,142.5,285,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034121-LLaMEA-gpt-4o-ellipsometry,16794b9f-7817-4cb8-ac30-45e74c221ac6,8,['b1347862-00b2-47e9-9698-89afe37a202f']
486,485,14,1,1.9958847736625513,1.7324933529780353,0,12,2,7.580357142857143,0,0,0.0,0.0,6.015972917437411,5.382404303055409,inf,14.372427983539094,19,10,0.00205761316872428,8.61383055449493,6.0,12,206.5,413,2.5,5,-inf,ellipsometry,exp_data_CAI_clip_exp-02-09_034121-LLaMEA-gpt-4o-ellipsometry,fb2c03b8-4aa1-4c13-848c-2162b682a49a,9,['b1347862-00b2-47e9-9698-89afe37a202f']
