,generation,auc,final_y,run,problem
0,0,0.23969978668723538,0.17171520859304226,0,mini-bragg
1,1,0.23969978668723538,0.17171520859304226,0,mini-bragg
2,2,0.24068670402877312,0.17171520859304226,0,mini-bragg
3,3,0.2425558178607393,0.16534307062913078,0,mini-bragg
4,4,0.2425558178607393,0.16534307062913078,0,mini-bragg
5,5,0.2425558178607393,0.16534307062913078,0,mini-bragg
6,6,0.2425558178607393,0.16534307062913078,0,mini-bragg
7,7,0.2425558178607393,0.16534307062913078,0,mini-bragg
8,8,0.2425558178607393,0.16534307062913078,0,mini-bragg
9,9,0.24341127392956005,0.16534307062913078,0,mini-bragg
10,10,0.24341127392956005,0.16534307062913078,0,mini-bragg
11,11,0.24573219446243563,0.1648600952378132,0,mini-bragg
12,12,0.24625131492745903,0.16485589047335328,0,mini-bragg
13,13,0.24625131492745903,0.16485589047335328,0,mini-bragg
14,14,0.2467210323916631,0.16485589047335328,0,mini-bragg
15,15,0.2467210323916631,0.16485589047335328,0,mini-bragg
16,16,0.2467210323916631,0.16485589047335328,0,mini-bragg
17,17,0.2467210323916631,0.16485589047335328,0,mini-bragg
18,18,0.2467210323916631,0.16485589047335328,0,mini-bragg
19,19,0.2467210323916631,0.16485589047335328,0,mini-bragg
20,20,0.2467210323916631,0.16485589047335328,0,mini-bragg
21,21,0.2467210323916631,0.16485589047335328,0,mini-bragg
22,22,0.2467210323916631,0.16485589047335328,0,mini-bragg
23,23,0.2467210323916631,0.16485589047335328,0,mini-bragg
24,24,0.2467210323916631,0.16485589047335328,0,mini-bragg
25,25,0.24687090906135958,0.16485589047335328,0,mini-bragg
26,26,0.24687090906135958,0.16485589047335328,0,mini-bragg
27,27,0.2473957767873666,0.16485589047335328,0,mini-bragg
28,28,0.24768716702299876,0.16485589047335328,0,mini-bragg
29,29,0.24768716702299876,0.16485589047335328,0,mini-bragg
30,30,0.24768716702299876,0.16485589047335328,0,mini-bragg
31,31,0.24768716702299876,0.16485589047335328,0,mini-bragg
32,32,0.24768716702299876,0.16485589047335328,0,mini-bragg
33,33,0.24768716702299876,0.16485589047335328,0,mini-bragg
34,34,0.24768716702299876,0.16485589047335328,0,mini-bragg
35,35,0.24768716702299876,0.16485589047335328,0,mini-bragg
36,36,0.24768716702299876,0.16485589047335328,0,mini-bragg
37,37,0.24768716702299876,0.16485589047335328,0,mini-bragg
38,38,0.24768716702299876,0.16485589047335328,0,mini-bragg
39,39,0.24768716702299876,0.16485589047335328,0,mini-bragg
40,40,0.2477340338200137,0.16485589047335328,0,mini-bragg
41,41,0.2477340338200137,0.16485589047335328,0,mini-bragg
42,42,0.2477340338200137,0.16485589047335328,0,mini-bragg
43,43,0.2477340338200137,0.16485589047335328,0,mini-bragg
44,44,0.24775809207681057,0.16485589047335328,0,mini-bragg
45,45,0.24775809207681057,0.16485589047335328,0,mini-bragg
46,46,0.24775809207681057,0.16485589047335328,0,mini-bragg
47,47,0.24775809207681057,0.16485581627752077,0,mini-bragg
48,48,0.24775809207681057,0.16485581627752077,0,mini-bragg
49,49,0.24775809207681057,0.16485581627752077,0,mini-bragg
50,50,0.24775809207681057,0.16485581627752077,0,mini-bragg
51,51,0.24775809207681057,0.16485581627752077,0,mini-bragg
52,52,0.24775809207681057,0.16485581627752077,0,mini-bragg
53,53,0.2478595240246225,0.16485581627752077,0,mini-bragg
54,54,0.2478595240246225,0.16485581627752077,0,mini-bragg
55,55,0.2478595240246225,0.16485577321357003,0,mini-bragg
56,56,0.2478595240246225,0.16485577321357003,0,mini-bragg
57,57,0.2478595240246225,0.16485577321357003,0,mini-bragg
58,58,0.2478595240246225,0.16485577321357003,0,mini-bragg
59,59,0.2478595240246225,0.16485577321357003,0,mini-bragg
60,60,0.24786144961853307,0.16485577321357003,0,mini-bragg
61,61,0.24786144961853307,0.16485577321357003,0,mini-bragg
62,62,0.24786144961853307,0.16485577321357003,0,mini-bragg
63,63,0.24786144961853307,0.16485577321357003,0,mini-bragg
64,64,0.24786144961853307,0.16485577321357003,0,mini-bragg
65,65,0.24786144961853307,0.16485577321357003,0,mini-bragg
66,66,0.24786144961853307,0.16485577221034564,0,mini-bragg
67,67,0.24786144961853307,0.16485577221034564,0,mini-bragg
68,68,0.24786144961853307,0.16485577221034564,0,mini-bragg
69,69,0.24786144961853307,0.16485577221034564,0,mini-bragg
70,70,0.24786144961853307,0.16485577221034564,0,mini-bragg
71,71,0.24786144961853307,0.16485577221034564,0,mini-bragg
72,72,0.24786144961853307,0.16485577214737887,0,mini-bragg
73,73,0.24786144961853307,0.16485577214737887,0,mini-bragg
74,74,0.24786144961853307,0.16485577214737887,0,mini-bragg
75,75,0.24786144961853307,0.16485577214737887,0,mini-bragg
76,76,0.24786144961853307,0.16485577214737887,0,mini-bragg
77,77,0.24786144961853307,0.16485577214737887,0,mini-bragg
78,78,0.24786144961853307,0.16485577214737887,0,mini-bragg
79,79,0.24786144961853307,0.16485577214737887,0,mini-bragg
80,80,0.24786747909521858,0.16485577214737887,0,mini-bragg
81,81,0.24786747909521858,0.16485577214737887,0,mini-bragg
82,82,0.24786747909521858,0.16485577214737887,0,mini-bragg
83,83,0.24786747909521858,0.16485577214737887,0,mini-bragg
84,84,0.24786747909521858,0.16485577214737887,0,mini-bragg
85,85,0.24786747909521858,0.16485577214737887,0,mini-bragg
86,86,0.24786747909521858,0.16485577214737887,0,mini-bragg
87,87,0.24786747909521858,0.16485577214737887,0,mini-bragg
88,88,0.24786747909521858,0.16485577214737887,0,mini-bragg
